FoodID,FoodGroups,FoodName,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat,GulaTotal,Kalsium,Besi,Magnesium,Fosfor,Kalium,Natrium,Seng,Tembaga,Mangan,Selenium,VitaminC,Tiamina,Riboflavin,Niasin,Pantotenat,VitaminB6,FolatTotal,Kolina,VitaminB12,VitaminA-IU,VitaminA-RAE,Retinol,AlphaKaroten,BetaKaroten,BetaKriptosantin,Likopen,ZeaksantinLutein,VitaminE,VitaminD,VitaminD-IU,VitaminK,LemakJenuh,LemakTunggal,LemakGanda,Kolesterol,Source
1,Buah dan Jus,Abiyuch mentah,"79,9",69,"1,5","0,1","0,9","17,6","5,3","8,55",8,"1,61",24,47,304,20,"0,31","0,057","0,182",,"54,1",,,,,,,,,100,5,,,60,,,,,,,,"0,014",,,,USDA
2,Buah dan Jus,Acerola (cherry India barat) mentah,"91,41",32,"0,4","0,3","0,2","7,69","1,1",,12,"0,2",18,11,146,7,"0,1","0,086",,"0,6","1.677,60","0,02","0,06","0,4","0,309","0,009",14,,,767,38,,,,,,,,,,,"0,068","0,082","0,09",,USDA
3,Buah dan Jus,Alpukat mentah California,"72,33",167,"1,96","15,41","1,66","8,64","6,8","0,3",13,"0,61",29,54,507,8,"0,68","0,17","0,149","0,4","8,8","0,075","0,143","1,912","1,463","0,287",89,14,,147,7,,24,63,27,,271,"1,97",,,21,"2,126","9,799","1,816",,USDA
4,Buah dan Jus,Alpukat mentah Florida,"78,81",120,"2,23","10,06","1,08","7,82","5,6","2,42",10,"0,17",24,40,351,2,"0,4","0,311","0,095",,"17,4","0,021","0,053","0,672","0,931","0,078",35,,,140,7,,27,53,36,,,"2,66",,,,"1,96","5,513","1,676",,USDA
5,Buah dan Jus,Alpukat mentah semua varietas komersial,"73,23",160,2,"14,66","1,58","8,53","6,7","0,66",12,"0,55",29,52,485,7,"0,64","0,19","0,142","0,4",10,"0,067","0,13","1,738","1,389","0,257",81,14,,146,7,,24,62,28,,271,"2,07",,,21,"2,126","9,799","1,816",,USDA
6,Buah dan Jus,Anggur kaleng tanpa biji paket air padatan dan cairan,"88,84",40,"0,5","0,11","0,25","10,3","0,6","9,7",10,"0,98",6,18,107,6,"0,05","0,056","0,039","0,1",1,"0,031","0,023","0,13","0,041","0,065",3,4,,45,2,,1,26,,,48,"0,13",,,"9,8","0,035","0,004","0,031",,USDA
7,Buah dan Jus,Anggur kalengan tanpa biji paket sirup berat padatan dan cairan,"79,53",76,"0,48","0,1","0,24","19,65","0,6","19,05",10,"0,94",6,17,103,5,"0,05","0,054","0,038","0,1",1,"0,03","0,022","0,125","0,041","0,065",3,4,,64,3,,1,38,,,48,"0,13",,,"9,8","0,033","0,004","0,03",,USDA
8,Buah dan Jus,Anggur merah atau hijau (tipe Eropa seperti Thompson tanpa biji) mentah,"80,54",69,"0,72","0,16","0,48","18,1","0,9","15,48",10,"0,36",7,20,191,2,"0,07","0,127","0,071","0,1","3,2","0,069","0,07","0,188","0,05","0,086",2,6,,66,3,,1,39,,,72,"0,19",,,"14,6","0,054","0,007","0,048",,USDA
9,Buah dan Jus,Anggur muscadine mentah,"84,29",57,"0,81","0,47","0,5","13,93","3,9",,37,"0,26",14,24,203,1,"0,11","0,119","1,973",,"6,5",,"1,5",,,,2,,,67,3,,1,39,1,,64,,,,,,,,,USDA
10,Buah dan Jus,Anggur tipe amerika (kulit slip) mentah,"81,3",67,"0,63","0,35","0,57","17,15","0,9","16,25",14,"0,29",5,10,191,2,"0,04","0,04","0,718","0,1",4,"0,092","0,057","0,3","0,024","0,11",4,6,,100,5,,1,59,,,72,"0,19",,,"14,6","0,114","0,014","0,102",,USDA
11,Buah dan Jus,Apel mawar mentah,93,25,"0,6","0,3","0,4","5,7",,,29,"0,07",5,8,123,,"0,06","0,016","0,029",,"22,3","0,02","0,03","0,8",,,,,,339,17,,,,,,,,,,,,,,,USDA
12,Buah dan Jus,Apel beku tanpa pemanis dipanaskan,"87,16",47,"0,29","0,33","0,23",12,"1,3",,5,"0,19",3,8,76,3,"0,05","0,065","0,146","0,2","0,4","0,014","0,011","0,043","0,057","0,032",1,,,20,,,,,,,,,,,,"0,053","0,013","0,095",,USDA
13,Buah dan Jus,Apel beku tanpa pemanis tidak dipanaskan,"86,85",48,"0,28","0,32","0,24","12,31","1,3","10,1",4,"0,18",3,8,77,3,"0,05","0,058","0,169","0,2","0,1","0,013","0,011","0,042","0,054","0,034",1,,,34,,,,,,,,,,,,"0,053","0,013","0,095",,USDA
14,Buah dan Jus,Apel didehidrasi (kelembaban rendah) disulfur direbus,"79,36",74,"0,28","0,12","0,33","19,91","2,6",,4,"0,43",5,12,136,26,"0,06","0,058","0,027","0,4","0,6","0,008","0,029","0,14","0,08","0,054",,,,19,1,,,,,,,,,,,"0,02","0,005","0,036",,USDA
15,Buah dan Jus,Apel didehidrasi (kelembaban rendah) disulfur tidak dimasak,3,346,"1,32","0,58","1,57","93,53","12,4","81,13",19,2,22,55,640,124,"0,29","0,271","0,128","1,8","2,2","0,046","0,13","0,68","0,432","0,28",1,23,,81,4,,,35,27,,25,"0,75",,,"4,3","0,095","0,024","0,171",,USDA
16,Buah dan Jus,Apel dikeringkan disulfur direbus dengan tambahan gula,"78,76",83,"0,2","0,07","0,24","20,73","1,9",,3,"0,31",3,8,98,19,"0,04","0,042","0,02",,"0,9","0,006","0,018","0,121","0,054","0,047",,,,16,1,,,,,,,,,,,"0,011","0,003","0,02",,USDA
17,Buah dan Jus,Apel dikeringkan disulfur direbus tanpa tambahan gula,"84,13",57,"0,22","0,07","0,26","15,32",2,"13,32",3,"0,33",4,9,105,20,"0,05","0,044","0,021","0,3",1,"0,006","0,019","0,129","0,057","0,05",,4,,17,1,,,7,6,,4,"0,12",,,"0,7","0,012","0,003","0,022",,USDA
18,Buah dan Jus,Apel dikeringkan disulfur tidak dimasak,"31,76",243,"0,93","0,32","1,1","65,89","8,7","57,19",14,"1,4",16,38,450,87,"0,2","0,191","0,09","1,3","3,9",,"0,159","0,927","0,245","0,125",,18,,,,,,,,,18,"0,53",,,3,"0,052","0,013","0,093",,USDA
19,Buah dan Jus,Apel kalengan dimaniskan diiris dikeringkan dipanaskan,"82,28",67,"0,18","0,43","0,27","16,84",2,"14,84",4,"0,24",3,6,70,3,"0,05","0,051","0,165","0,3","0,2","0,009","0,01","0,081","0,032","0,044",,3,,56,3,,,24,18,,18,"0,21",,,"0,6","0,07","0,017","0,126",,USDA
20,Buah dan Jus,Apel kalengan dimaniskan diiris dikeringkan tidak dipanaskan,"82,36",67,"0,18","0,49","0,27","16,7","1,7",15,4,"0,23",2,5,68,3,"0,03","0,053","0,153","0,3","0,4","0,009","0,01","0,073","0,031","0,044",,3,,51,3,,,22,17,,18,"0,21",,,"0,6","0,08","0,02","0,144",,USDA
21,Buah dan Jus,Apel mentah dengan kulit,"85,56",52,"0,26","0,17","0,19","13,81","2,4","10,39",6,"0,12",5,11,107,1,"0,04","0,027","0,035",,"4,6","0,017","0,026","0,091","0,061","0,041",3,3,,54,3,,,27,11,,29,"0,18",,,"2,2","0,028","0,007","0,051",,USDA
22,Buah dan Jus,Apel mentah fuji dengan kulit,"84,16",63,"0,2","0,18","0,24","15,22","2,1","11,68",7,"0,1",5,13,109,1,"0,04","0,025","0,031",,,"0,013","0,026","0,07","0,051","0,045",3,3,,38,2,,,17,11,,11,"0,18",,,1,,,,,USDA
23,Buah dan Jus,Apel mentah gala dengan kulit,"85,76",57,"0,25","0,12","0,2","13,68","2,3","10,37",7,"0,12",5,11,108,1,"0,05","0,021","0,037",,,"0,017","0,029","0,075","0,055","0,049",3,3,,28,1,,,11,11,,11,"0,18",,,"1,3",,,,,USDA
24,Buah dan Jus,Apel mentah granny smith dengan kulit,"85,46",58,"0,44","0,19","0,29","13,61","2,8","9,59",5,"0,15",5,12,120,1,"0,04","0,031","0,044","0,1",,"0,019","0,025","0,126","0,056","0,037",3,3,,100,5,,,59,2,,64,"0,18",,,"3,2",,,,,USDA
25,Buah dan Jus,Apel mentah lezat keemasan dengan kulit,"85,81",57,"0,28","0,15","0,16","13,6","2,4","10,04",6,"0,13",5,10,100,2,"0,04","0,03","0,035",,,"0,018","0,026","0,094","0,074","0,051",3,5,,51,3,,,25,12,,28,"0,18",,,"1,8",,,,,USDA
26,Buah dan Jus,Apel mentah merah lezat dengan kulit,"85,33",59,"0,27","0,2","0,14","14,06","2,3","10,48",6,"0,11",5,12,104,1,"0,04","0,027","0,034",,,"0,015","0,025","0,075","0,051","0,034",3,3,,55,3,,,27,12,,31,"0,24",,,"2,6",,,,,USDA
27,Buah dan Jus,Apel mentah tanpa kulit,"86,67",48,"0,27","0,13","0,17","12,76","1,3","10,1",5,"0,07",4,11,90,,"0,05","0,031","0,038",,4,"0,019","0,028","0,091","0,071","0,037",,3,,38,2,,,17,13,,18,"0,05",,,"0,6","0,021","0,005","0,037",,USDA
28,Buah dan Jus,Apel mentah tanpa kulit dimasak direbus,"85,47",53,"0,26","0,36","0,28","13,64","2,4","11,01",5,"0,19",3,8,88,1,"0,04","0,035","0,118","0,3","0,2","0,016","0,012","0,095","0,046","0,044",1,3,,44,2,,,19,14,,19,"0,05",,,"0,6","0,058","0,014","0,104",,USDA
29,Buah dan Jus,Apel mentah tanpa kulit dimasak microwave,"84,63",56,"0,28","0,42","0,26","14,41","2,8","11,61",5,"0,17",3,8,93,1,"0,04","0,046","0,142","0,3","0,3","0,017","0,011","0,061","0,046","0,046",1,3,,40,2,,,17,13,,21,"0,05",,,"0,7","0,068","0,017","0,122",,USDA
30,Buah dan Jus,Apelgula (permen) mentah,"73,23",94,"2,06","0,29","0,78","23,64","4,4",,24,"0,6",21,32,247,9,"0,1","0,086",,"0,6","36,3","0,11","0,113","0,883","0,226","0,2",14,,,6,,,,,,,,,,,,"0,048","0,114","0,04",,USDA
31,Buah dan Jus,Aprikot nektar kaleng dengan tambahan asam askorbat,"84,87",56,"0,37","0,09","0,29","14,39","0,6","13,24",7,"0,38",5,9,114,3,"0,09","0,073","0,032","0,2","17,6","0,009","0,014","0,26","0,096","0,022",1,,,1.316,66,,,,,,,,,,,"0,006","0,038","0,017",,USDA
32,Buah dan Jus,Aprikot nektar kaleng tanpa ditambahkan asam askorbat,"84,87",56,"0,37","0,09","0,29","14,39","0,6","13,79",7,"0,38",5,9,114,3,"0,09","0,073","0,032",,"0,6","0,009","0,014","0,26","0,096","0,022",1,1,,1.316,66,,,786,7,,14,"0,31",,,"1,2","0,006","0,038","0,017",,USDA
