FoodID,FoodGroups,FoodName,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat,GulaTotal,Kalsium,Besi,Magnesium,Fosfor,Kalium,Natrium,Seng,Tembaga,Mangan,Selenium,VitaminC,Tiamina,Riboflavin,Niasin,Pantotenat,VitaminB6,FolatTotal,Kolina,VitaminB12,VitaminA-IU,VitaminA-RAE,Retinol,AlphaKaroten,BetaKaroten,BetaKriptosantin,Likopen,ZeaksantinLutein,VitaminE,VitaminD,VitaminD-IU,VitaminK,LemakJenuh,LemakTunggal,LemakGanda,Kolesterol,Source
1,Buah dan Jus,Abiyuch mentah,"79,90","69,00","1,50","0,10","0,90","17,60","5,30","8,55","8,00","1,61","24,00","47,00","304,00","20,00","0,31","0,06","0,18",,"54,10",,,,,,,,,"100,00","5,00",,,"60,00",,,,,,,,"0,01",,,,USDA
2,Buah dan Jus,Acerola (cherry India barat) mentah,"91,41","32,00","0,40","0,30","0,20","7,69","1,10",,"12,00","0,20","18,00","11,00","146,00","7,00","0,10","0,09",,"0,60","1.677,60","0,02","0,06","0,40","0,31","0,01","14,00",,,"767,00","38,00",,,,,,,,,,,"0,07","0,08","0,09",,USDA
3,Buah dan Jus,Alpukat mentah California,"72,33","167,00","1,96","15,41","1,66","8,64","6,80","0,30","13,00","0,61","29,00","54,00","507,00","8,00","0,68","0,17","0,15","0,40","8,80","0,08","0,14","1,91","1,46","0,29","89,00","14,00",,"147,00","7,00",,"24,00","63,00","27,00",,"271,00","1,97",,,"21,00","2,13","9,80","1,82",,USDA
4,Buah dan Jus,Alpukat mentah Florida,"78,81","120,00","2,23","10,06","1,08","7,82","5,60","2,42","10,00","0,17","24,00","40,00","351,00","2,00","0,40","0,31","0,10",,"17,40","0,02","0,05","0,67","0,93","0,08","35,00",,,"140,00","7,00",,"27,00","53,00","36,00",,,"2,66",,,,"1,96","5,51","1,68",,USDA
5,Buah dan Jus,Alpukat mentah semua varietas komersial,"73,23","160,00","2,00","14,66","1,58","8,53","6,70","0,66","12,00","0,55","29,00","52,00","485,00","7,00","0,64","0,19","0,14","0,40","10,00","0,07","0,13","1,74","1,39","0,26","81,00","14,00",,"146,00","7,00",,"24,00","62,00","28,00",,"271,00","2,07",,,"21,00","2,13","9,80","1,82",,USDA
6,Buah dan Jus,Anggur kaleng tanpa biji paket air padatan dan cairan,"88,84","40,00","0,50","0,11","0,25","10,30","0,60","9,70","10,00","0,98","6,00","18,00","107,00","6,00","0,05","0,06","0,04","0,10","1,00","0,03","0,02","0,13","0,04","0,07","3,00","4,00",,"45,00","2,00",,"1,00","26,00",,,"48,00","0,13",,,"9,80","0,04","0,00","0,03",,USDA
7,Buah dan Jus,Anggur kalengan tanpa biji paket sirup berat padatan dan cairan,"79,53","76,00","0,48","0,10","0,24","19,65","0,60","19,05","10,00","0,94","6,00","17,00","103,00","5,00","0,05","0,05","0,04","0,10","1,00","0,03","0,02","0,13","0,04","0,07","3,00","4,00",,"64,00","3,00",,"1,00","38,00",,,"48,00","0,13",,,"9,80","0,03","0,00","0,03",,USDA
8,Buah dan Jus,Anggur merah atau hijau (tipe Eropa seperti Thompson tanpa biji) mentah,"80,54","69,00","0,72","0,16","0,48","18,10","0,90","15,48","10,00","0,36","7,00","20,00","191,00","2,00","0,07","0,13","0,07","0,10","3,20","0,07","0,07","0,19","0,05","0,09","2,00","6,00",,"66,00","3,00",,"1,00","39,00",,,"72,00","0,19",,,"14,60","0,05","0,01","0,05",,USDA
9,Buah dan Jus,Anggur muscadine mentah,"84,29","57,00","0,81","0,47","0,50","13,93","3,90",,"37,00","0,26","14,00","24,00","203,00","1,00","0,11","0,12","1,97",,"6,50",,"1,50",,,,"2,00",,,"67,00","3,00",,"1,00","39,00","1,00",,"64,00",,,,,,,,,USDA
10,Buah dan Jus,Anggur tipe amerika (kulit slip) mentah,"81,30","67,00","0,63","0,35","0,57","17,15","0,90","16,25","14,00","0,29","5,00","10,00","191,00","2,00","0,04","0,04","0,72","0,10","4,00","0,09","0,06","0,30","0,02","0,11","4,00","6,00",,"100,00","5,00",,"1,00","59,00",,,"72,00","0,19",,,"14,60","0,11","0,01","0,10",,USDA
11,Buah dan Jus,Apel mawar mentah,"93,00","25,00","0,60","0,30","0,40","5,70",,,"29,00","0,07","5,00","8,00","123,00",,"0,06","0,02","0,03",,"22,30","0,02","0,03","0,80",,,,,,"339,00","17,00",,,,,,,,,,,,,,,USDA
12,Buah dan Jus,Apel beku tanpa pemanis dipanaskan,"87,16","47,00","0,29","0,33","0,23","12,00","1,30",,"5,00","0,19","3,00","8,00","76,00","3,00","0,05","0,07","0,15","0,20","0,40","0,01","0,01","0,04","0,06","0,03","1,00",,,"20,00",,,,,,,,,,,,"0,05","0,01","0,10",,USDA
13,Buah dan Jus,Apel beku tanpa pemanis tidak dipanaskan,"86,85","48,00","0,28","0,32","0,24","12,31","1,30","10,10","4,00","0,18","3,00","8,00","77,00","3,00","0,05","0,06","0,17","0,20","0,10","0,01","0,01","0,04","0,05","0,03","1,00",,,"34,00",,,,,,,,,,,,"0,05","0,01","0,10",,USDA
14,Buah dan Jus,Apel didehidrasi (kelembaban rendah) disulfur direbus,"79,36","74,00","0,28","0,12","0,33","19,91","2,60",,"4,00","0,43","5,00","12,00","136,00","26,00","0,06","0,06","0,03","0,40","0,60","0,01","0,03","0,14","0,08","0,05",,,,"19,00","1,00",,,,,,,,,,,"0,02","0,01","0,04",,USDA
15,Buah dan Jus,Apel didehidrasi (kelembaban rendah) disulfur tidak dimasak,"3,00","346,00","1,32","0,58","1,57","93,53","12,40","81,13","19,00","2,00","22,00","55,00","640,00","124,00","0,29","0,27","0,13","1,80","2,20","0,05","0,13","0,68","0,43","0,28","1,00","23,00",,"81,00","4,00",,,"35,00","27,00",,"25,00","0,75",,,"4,30","0,10","0,02","0,17",,USDA
16,Buah dan Jus,Apel dikeringkan disulfur direbus dengan tambahan gula,"78,76","83,00","0,20","0,07","0,24","20,73","1,90",,"3,00","0,31","3,00","8,00","98,00","19,00","0,04","0,04","0,02",,"0,90","0,01","0,02","0,12","0,05","0,05",,,,"16,00","1,00",,,,,,,,,,,"0,01","0,00","0,02",,USDA
17,Buah dan Jus,Apel dikeringkan disulfur direbus tanpa tambahan gula,"84,13","57,00","0,22","0,07","0,26","15,32","2,00","13,32","3,00","0,33","4,00","9,00","105,00","20,00","0,05","0,04","0,02","0,30","1,00","0,01","0,02","0,13","0,06","0,05",,"4,00",,"17,00","1,00",,,"7,00","6,00",,"4,00","0,12",,,"0,70","0,01","0,00","0,02",,USDA
18,Buah dan Jus,Apel dikeringkan disulfur tidak dimasak,"31,76","243,00","0,93","0,32","1,10","65,89","8,70","57,19","14,00","1,40","16,00","38,00","450,00","87,00","0,20","0,19","0,09","1,30","3,90",,"0,16","0,93","0,25","0,13",,"18,00",,,,,,,,,"18,00","0,53",,,"3,00","0,05","0,01","0,09",,USDA
19,Buah dan Jus,Apel kalengan dimaniskan diiris dikeringkan dipanaskan,"82,28","67,00","0,18","0,43","0,27","16,84","2,00","14,84","4,00","0,24","3,00","6,00","70,00","3,00","0,05","0,05","0,17","0,30","0,20","0,01","0,01","0,08","0,03","0,04",,"3,00",,"56,00","3,00",,,"24,00","18,00",,"18,00","0,21",,,"0,60","0,07","0,02","0,13",,USDA
20,Buah dan Jus,Apel kalengan dimaniskan diiris dikeringkan tidak dipanaskan,"82,36","67,00","0,18","0,49","0,27","16,70","1,70","15,00","4,00","0,23","2,00","5,00","68,00","3,00","0,03","0,05","0,15","0,30","0,40","0,01","0,01","0,07","0,03","0,04",,"3,00",,"51,00","3,00",,,"22,00","17,00",,"18,00","0,21",,,"0,60","0,08","0,02","0,14",,USDA
21,Buah dan Jus,Apel mentah dengan kulit,"85,56","52,00","0,26","0,17","0,19","13,81","2,40","10,39","6,00","0,12","5,00","11,00","107,00","1,00","0,04","0,03","0,04",,"4,60","0,02","0,03","0,09","0,06","0,04","3,00","3,00",,"54,00","3,00",,,"27,00","11,00",,"29,00","0,18",,,"2,20","0,03","0,01","0,05",,USDA
22,Buah dan Jus,Apel mentah fuji dengan kulit,"84,16","63,00","0,20","0,18","0,24","15,22","2,10","11,68","7,00","0,10","5,00","13,00","109,00","1,00","0,04","0,03","0,03",,,"0,01","0,03","0,07","0,05","0,05","3,00","3,00",,"38,00","2,00",,,"17,00","11,00",,"11,00","0,18",,,"1,00",,,,,USDA
23,Buah dan Jus,Apel mentah gala dengan kulit,"85,76","57,00","0,25","0,12","0,20","13,68","2,30","10,37","7,00","0,12","5,00","11,00","108,00","1,00","0,05","0,02","0,04",,,"0,02","0,03","0,08","0,06","0,05","3,00","3,00",,"28,00","1,00",,,"11,00","11,00",,"11,00","0,18",,,"1,30",,,,,USDA
24,Buah dan Jus,Apel mentah granny smith dengan kulit,"85,46","58,00","0,44","0,19","0,29","13,61","2,80","9,59","5,00","0,15","5,00","12,00","120,00","1,00","0,04","0,03","0,04","0,10",,"0,02","0,03","0,13","0,06","0,04","3,00","3,00",,"100,00","5,00",,,"59,00","2,00",,"64,00","0,18",,,"3,20",,,,,USDA
25,Buah dan Jus,Apel mentah lezat keemasan dengan kulit,"85,81","57,00","0,28","0,15","0,16","13,60","2,40","10,04","6,00","0,13","5,00","10,00","100,00","2,00","0,04","0,03","0,04",,,"0,02","0,03","0,09","0,07","0,05","3,00","5,00",,"51,00","3,00",,,"25,00","12,00",,"28,00","0,18",,,"1,80",,,,,USDA
26,Buah dan Jus,Apel mentah merah lezat dengan kulit,"85,33","59,00","0,27","0,20","0,14","14,06","2,30","10,48","6,00","0,11","5,00","12,00","104,00","1,00","0,04","0,03","0,03",,,"0,02","0,03","0,08","0,05","0,03","3,00","3,00",,"55,00","3,00",,,"27,00","12,00",,"31,00","0,24",,,"2,60",,,,,USDA
